source_type,source_id,mentioned_user_id
news,1367269369521266691,372439064
news,1352019602151100416,1119818046070112256
news,1352019602151100416,463829352
news,1352019602151100416,21696770
news,1271896411257241600,154216795
news,1271896411257241600,1483679244
news,1317201419384975365,309366491
news,1275840045761441792,10228272
news,1316239353505480704,61033129
news,1173620799997186051,1525395258
news,1368447074019270656,1026536822
news,1319402828285108225,1228542159982223361
news,1319402828285108225,289256940
news,1319402828285108225,369583954
news,1319402828285108225,18208354
news,1367113993815547906,344801362
news,1367113993815547906,371112966
news,1367113993815547906,610060498
news,1367113993815547906,486003719
news,1367113993815547906,191985864
news,1367113993815547906,847238528
news,1366499073671454725,253116441
news,1366499073671454725,2329070186
news,1366499073671454725,304596944
news,1366499073671454725,1296277046
news,1366499073671454725,215039104
news,1366499073671454725,815671379202887684
news,1368580185642110982,371112966
news,1368580185642110982,273665871
news,1368580185642110982,256551011
news,1319343716801236992,289256940
news,1319343716801236992,369583954
news,1319343716801236992,18208354
news,1367170047081402380,1334575086074998784
news,1367170047081402380,826126131212480513
news,1345510484213075968,19923144
news,1345510484213075968,182662505
news,1345510484213075968,23083404
news,1345510484213075968,442456291
news,1345510484213075968,1240831700
news,1345510484213075968,18479513
news,1345510484213075968,241204643
news,1368584215403655171,103341208
news,1368584215403655171,27528134
news,1368561200754270210,351838853
news,1326736922199257089,608732656
news,1326736922199257089,1113999850855641088
news,1326736922199257089,6446742
news,1367649223601238016,19923144
news,1367649223601238016,126383762
news,1367649223601238016,29277803
news,1367649223601238016,989397451
news,1367531774012751878,28405973
news,1366232555037462531,272616327
news,1366232555037462531,23083404
news,1366232555037462531,2272672902
news,1366232555037462531,167821244
news,1366232555037462531,255792011
news,1354993740562137089,2282608831
news,1358414579328561153,33623812
news,1367474157626290181,52034979
news,1367474157626290181,130151627
news,1367474157626290181,151252468
news,1367474157626290181,2918423207
news,1367474157626290181,19388771
news,1365629350721249281,37508790
news,1365629350721249281,252962731
news,1365629350721249281,26482350
news,1365629350721249281,500010484
news,1362674074732748803,873479744414773251
news,1362674074732748803,821640277823750144
news,1369000930809581570,1053795166199238656
news,1369000930809581570,366926669
news,1063403538636816385,1366538004
news,1320374052847013893,17019152
news,1330058761323614209,1370583313
news,1330058761323614209,89812222
news,1350151000267632641,2164133202
news,1350151000267632641,1331391767216857089
news,1350151000267632641,21705931
news,1366743775192752129,1548989149
news,1363561378552958976,28221296
news,1365319660405678081,1341539442063011844
news,1368245620344029188,32184345
news,1368245620344029188,1192636082476789760
news,1339195127986794498,103015259
news,1337819421973344256,18725026
news,1362475666504040451,1265706848507887616
news,1362127981234188288,14163722
news,1362127981234188288,1199023873213100033
news,1362127981234188288,10505322
news,1362127981234188288,1231349745983074306
news,1362127981234188288,14163748
news,1358569998885785609,2653325339
news,1369038985188831234,2473963118
news,1368923387532369922,3288553378
news,1369424518092120064,60959527
news,1369189230489001991,35094637
news,1368697794417065992,232268199
news,1368697794417065992,759251
news,1368697794417065992,14515799
news,1369326799709212680,22532755
news,1369326799709212680,14445453
news,1369395335769038849,19336500
news,1369395335769038849,2413051784
news,1369015794248671233,268944886
