diversity_score,sentiment_score,reply_count,author_id,domains,quote_count,retweet_count,tokens,entities,urls,context_score,like_count,impression_count,item_id,created_at,hashtags,mentions,recency_score
0.0,0.0,0.00017016770973170224,821102114,{'Entretenimento'},0.0,9.188642837452908e-05,,{'Games'},{'https://t.co/zkzqnwcip1'},0.0,0.00040109976756782704,0.0001657884764185146,1336793663792406530,2020-12-09 22:03:40+00:00,,"{'2785993288', '1171755060'}",0.0632332724985645
0.6666666666666666,-0.2193705141544342,0.0,24742040,{'Entretenimento'},0.0,4.0838412610901816e-05,"{'postponement', 'substantiate'}",{'Games'},,0.0,3.885296893819407e-05,1.992284538727397e-05,1369386818169372680,2021-03-09 20:37:14+00:00,,{'561659754'},0.9392013925398013
1.0,-0.1523327529430389,0.0031008338217776853,1038082275689340928,{'Entretenimento'},0.007283471329920637,0.007371333476267778,"{'surprisal', 'sweetheart', 'thoroughgoing', 'along', 'precisely', 'commemorate'}",{'Séries de TV'},{'https://t.co/wgcey8hp2p'},0.0,0.006474733000111988,0.0060575929070195225,1339525827118194689,2020-12-17 11:00:19+00:00,{'witchmas'},,0.07928197762589065
1.0,-0.1429913341999054,0.0,24742040,{'Entretenimento'},0.0,0.0,{'stimulate'},{'Games'},,0.0,2.2854687610702394e-06,5.713671902675599e-07,1369372321736232963,2021-03-09 19:39:37+00:00,,{'407337082'},0.9380747011029085
0.8333333333333334,-0.1350269913673401,0.0002457978029457921,10671602,{'Entretenimento'},0.0003435599683924829,0.0004696417450253709,"{'lineament', 'wriggle', 'contribution', 'alongside', 'scoundrel', 'probability', 'pureness', 'revolutionise', 'substantiate', 'International', 'wherefore', 'foreground', 'heroine', 'workweek', 'muliebrity'}",{'Games'},{'https://t.co/tyyb8rznlf'},0.103161471706573,0.000545084299515252,0.0004010209539697245,1367882927384768524,2021-03-05 17:01:18+00:00,"{'psshare', 'psblog'}",,0.8292579963484001
1.0,-0.1511211097240448,1.890752330352247e-05,15234657,{'Entretenimento'},0.0,1.0209603152725454e-05,"{'shimmer', 'stimulate'}",{'Games'},,0.0,9.141875044280958e-06,9.56475037513222e-06,1363551492486008834,2021-02-21 18:09:44+00:00,,"{'1170868047474831360', '2892152997', '240695163', '2916921081', '960521571562598401'}",0.5793791012786974
1.0,-0.2391892671585083,0.0,34992644,{'Notícias'},0.0,0.0,"{'djokovic', 'novak', 'Melbourne'}",{'Esportes'},"{'https://t.co/jf8zfimt5d', 'https://t.co/ijpxdksywm'}",0.1613891161800418,2.3997421991237514e-05,5.9993554978093784e-06,1363564146948665347,2021-02-21 19:00:01+00:00,{'ausopen'},,0.5799863591388024
1.0,-0.2118859887123108,0.001210081491425438,2557521,{'Notícias'},0.000824543924141959,0.0011843139657161527,"{'wcc', 'jalen', 'ast', 'gonzaga', 'suggs', 'become', 'byu'}",{'Esportes'},{'https://t.co/pp8joupbp6'},0.2246557413454132,0.0022854687610702395,0.0013761020355884473,1369498799673065473,2021-03-10 04:02:12+00:00,,,0.9479484002416468
1.0,-0.1449298560619354,0.0029495736353495053,368276033,{'Notícias'},0.0017865118356409112,0.002419675947195933,"{'unrecorded', 'substantiate', 'subspecies', 'completely'}",{'Esportes'},{'https://t.co/yl1f7zez65'},0.0,0.0017700955554489004,0.002231464243408812,1367766039254163458,2021-03-05 09:16:50+00:00,"{'skyf1', 'f1'}",,0.8212724713179772
0.9090909090909092,-0.1649264991283416,7.563009321408988e-05,14173315,{'Notícias'},3.435599683924829e-05,0.00032670730088721453,"{'unrecorded', 'covid', 'subsequently', 'exceptional', 'toward', 'nbc', 'server', 'wellness', 'along', 'lockdown'}",{'Do Mundo'},{'https://t.co/uqyxkszmyg'},0.1394089660894499,8.68478129206691e-05,0.00013088530096530546,1369453291936088064,2021-03-10 01:01:22+00:00,,"{'1171155332917321730', '287724263', '8036392', '27242124'}",0.944383854983796
